id,link
SFR_LPM_fr,https://mobile.lapostemobile.fr/selection/nos-telephones-portables/ios/20004
SFR_fr,https://www.sfr.fr/telephonie-mobile/iphone/
SFR_re,http://www.sfr.re/index.jspz
SKT_kr,http://www.tworld.co.kr/tglink.jsp?urlname=wtg_0001
SPT_wf,https://www.spt.wf/
STC_sa,https://www.stc.com.bh/content/contact-help-support
Safaricom_ke,http://www.safaricom.co.ke/
Sasktel_Lum_ca,https://lum.ca
Sasktel_ca,https://support.sasktel.com
Saunalahti_fi,http://saunalahti.fi/
Seatel_kh,https://www.yes.com.kh
Setar_aw,http://setar.aw/
Shaw_ca,https://shop.shawmobile.ca/en-CA/devices?brand=Apple
Shinetown,https://www.airsime.com/
SilverStar_LTE_US,https://www.silverstar.com
Siminn_is,https://vefverslun.siminn.is/vorur/apple_iphone
SingTel_sg,https://www.singtel.com/personal/support#
Sky_ie,https://www.sky.com/ie
SmarTone_HKBN_hk,https://www.hkbn.net/personal/mobile/en/
SmarTone_hk,http://www.smartone.com/en/
SmarTone_mo,https://www.smartone.com/mo/tc/
Smart_bz,https://smart-bz.com/
Smart_kh,http://www.smart.com.kh/
Smart_ph,https://smart.com.ph/corporate
Smartfren_id,https://www.smartfren.com
Softbank_BBB_jp,https://www.bbbackbone.co.jp/en_index/
Softbank_YMobile_jp,https://www.ymobile.jp
Softbank_jp,http://www.softbank.jp/mobile/iphone/
Sonera_fi,https://www.telia.fi/
Soracom,https://soracommobile.com/
Sprint_Boost_ISIM_LTE_US,https://help.boostmobile.com/
Sprint_ISIM_LTE_US,http://sprint.com/
Sprint_Virgin_ISIM_LTE_US,http://virginmobileusa.com/
StarHub_giga_sg,https://giga.com.sg
StarHub_sg,https://www.starhub.com/personal/support/contact-us.html
StrataNetwork_LTE_US,https://www.stratanetworks.com/
Strata_LTE_US,https://www.stratanetworks.com/
Sunrise_ch,http://www1.sunrise.ch/iphone/support
Sure_im,https://web.sure.com/isleofman
Swisscom_Wingo_ch,https://www.wingo.ch/de
Swisscom_ch,https://www.swisscom.ch/en/residential.html
TCC_to,https://www.tcc.to/
TDC_dk,https://tdcnet.com/mobile-network/
TELE_gl,https://www.tusass.gl/en/
THC_LTE_US,https://www.thumbcellular.com/
TIM_Italy,https://www.tim.it/assistenza
TIM_Kena_it,https://www.kenamobile.it
TIM_br,http://www.tim.com.br/
TMN_pt,https://www.meo.pt/
TMobile_Boost_US,https://help.boostmobile.com/
TMobile_CC_US,https://www.consumercellular.com/shopping/choose/device?filters=Apple
TMobile_Germany,http://www.t-mobile.de/handy-hilfe/0,23626,26974-_,00.html#/apple
TMobile_MVNO_US,https://www.t-mobile.com/support/
TMobile_MetroPCS_US,https://www.metrobyt-mobile.com/cell-phones/brand/apple
TMobile_TFW_Simple_US,https://www.tracfone.com/techsupport
TMobile_Ting_US,https://ting.com/
TMobile_US,https://www.t-mobile.com/support/
TMobile_UltraMint_US,https://www.ultramobile.com/faq/
TMobile_al,https://www.one.al/premium-phones/?q_facetTrail=18120%253AApple
TMobile_at,https://www.magenta.at/
TMobile_bg,https://www.yettel.bg/bg/private/device/list/device_smart_phone/field_device_brand/apple-14801
TMobile_cz,http://t-mobile.cz/
TMobile_gr,https://www.cosmote.gr/
TMobile_hr,https://www.hrvatskitelekom.hr/
TMobile_hu,http://t-mobile.hu/
TMobile_me,http://www.telekom.me/
TMobile_mk,https://www.telekom.mk/
TMobile_nl,https://www.odido.nl/iphone/iphone-15-serie?utm_source=t-mobile&utm_medium=website&utm_campaign=redirect-mobile-b2c-sales&utm_content=iphone
TMobile_pl,http://www.t-mobile.pl/pl/indywidualni/telefony/iphone4
TMobile_ro,https://www.telekom.ro/
TMobile_sk,http://www.telekom.sk/
TMobile_uk,http://ee.co.uk/help
TaiwanMobile_tw,https://www.taiwanmobile.com/
Talkmobile_uk,https://talkmobile.co.uk
Tango,https://tango-networks.com
Tango_lu,http://www.tango.lu/page.php?url=residential/helpsupport/contacttango/customerservice
TashiCell_bt,http://www.tashicell.com/
Tbaytel_ca,http://www.tbaytel.net/support/gethelp
Telcel_AztecaMovil_mx,https://ouimovil.com
Telcel_mx,http://www.telcel.com/
Tele2_Altel_kz,https://altel.kz/new
Tele2_Sberbank_ru,https://sbermobile.ru/
Tele2_ee,https://tele2.ee/
Tele2_kz,https://tele2.kz/new
Tele2_lt,https://tele2.lt/
Tele2_lv,https://www.tele2.lv/
Tele2_ru,https://t2.ru
Tele2_se,http://www.tele2.se/support/
TelecomCook_ck,https://www.vodafone.co.ck/
TelecomEgypt_eg,https://www.te.eg/
TelecomLiechtenstein_li,https://www.fl1.li
TelecomNamibia_na,http://www.telecom.na/
Telecom_Skinny_nz,https://www.skinny.co.nz/
Telecom_nz,http://www.spark.co.nz/
Telefonica_Tuenti_ar,https://www.tuenti.com.ar
Telefonica_es,http://www.movistar.es/iphone
TelekomSlovenije_ba,https://www.bhtelecom.ba/
TelekomSlovenije_gi,http://www.gibtele.com/
TelekomSlovenije_mk,http://www.one.mk/
TelekomSlovenije_xk,https://www.ipko.com/
TelekomSrbija_ba,http://www.mtel.ba/
TelekomSrbija_me,http://mtel.me/
TelekomSrbija_rs,https://mts.rs
Telekom_si,https://www.telekom.si/zasebni-uporabniki
Telemach_hr,https://telemach.hr/
Telemach_si,https://telemach.si/
Telenet_be,https://www2.telenet.be/residential/en
Telenor_Vimla_se,https://vimla.se
Telenor_dk,https://www.telenor.dk/
Telenor_hu,https://www.yettel.hu/mobiltelefon/apple
Telenor_me,https://1.me
Telenor_mm,https://www.atom.com.mm/en
Telenor_no,http://www.telenor.no/
Telenor_pk,http://www.telenor.com.pk/
Telenor_rs,https://www.yettel.rs/webshop/sr/Privatni-korisnici/Mobilni-telefoni/?purchase=cosmos&tpackage=370&brand=Apple
Telenor_se,http://www.telenor.se/privat/kundservice/index.html
Telesur_sr,https://www.telesur.sr
Telia_az,https://www.azercell.com/en/
Telia_dk,https://www.telia.dk/
